Name,StartDate,EndDate
The Walt Disney Company,2009-06-08,
"Nike, Inc.",2013-09-23,
The Coca-Cola Company,2009-06-08,
Walmart Inc.,2009-06-08,
Microsoft Corporation,2009-06-08,
"Cisco Systems, Inc.",2009-06-08,
Visa Inc.,2013-09-23,
"Merck & Co., Inc.",2009-06-08,
Chevron Corporation,2009-06-08,
Verizon Communications Inc.,2009-06-08,
McDonald's Corporation,2009-06-08,
Caterpillar Inc.,2009-06-08,
UnitedHealth Group Incorporated,2012-09-24,
JPMorgan Chase & Co.,2009-06-08,
The Boeing Company,2009-06-08,
"The Travelers Companies, Inc.",2009-06-08,
Johnson & Johnson,2009-06-08,
Apple Inc.,2015-03-19,
The Sherwin-Williams Company,2024-11-08,
International Business Machines Corporation,2009-06-08,
Amgen Inc.,2020-08-31,
"Salesforce, Inc.",2020-08-31,
Honeywell International Inc.,2020-08-31,
American Express Company,2009-06-08,
The Procter & Gamble Company,2009-06-08,
"The Home Depot, Inc.",2009-06-08,
"Amazon.com, Inc.",2024-02-26,
Nvidia Corporation,2024-11-08,
"The Goldman Sachs Group, Inc.",2013-09-23,
3M Company,2009-06-08,
Intel Corporation,2009-06-08,2024-11-08
Dow Inc.,2019-04-02,2024-11-08
"Walgreens Boots Alliance, Inc.",2018-06-26,2024-02-26
Pfizer Inc.,2009-06-08,2020-08-31
Exxon Mobil Corporation,2009-06-08,2020-08-31
Raytheon Technologies Corporation,2020-04-06,2020-08-31
United Technologies Corporation,2009-06-08,2020-04-06
DuPont Inc.,2009-06-08,2019-04-02
General Electric Company,2009-06-08,2018-06-26
AT&T Inc.,2009-06-08,2015-03-19
Hewlett-Packard Company,2009-06-08,2013-09-23
Bank of America Corporation,2009-06-08,2013-09-23
Alcoa Inc.,2009-06-08,2013-09-23
Kraft Foods Inc.,2009-06-08,2012-09-24
