Ticker,Name,StartDate,EndDate
GRMN,Garmin,,2015-12-21
HSIC,Henry Schein,,2019-12-23
ADBE,Adobe Inc.,,
TCFCB,21st Century Fox Class B,2014-12-22,2019-03-19
INTU,Intuit,,
BIDU,Baidu,,2022-12-19
JBHT,J.B. Hunt,2017-02-07,2019-12-23
SIAL,Sigma-Aldrich,,2015-07-31
UAL,United Airlines Holdings,2018-12-24,2020-06-22
YHOO,Yahoo! Inc.,,2017-06-19
KLAC,KLA Corporation,2016-12-19,
EXC,Exelon,2019-11-21,
AMD,Advanced Micro Devices,2018-12-24,
SWKS,Skyworks Solutions,2015-08-03,2022-12-19
DELL,Dell,,2013-10-29
EQIX,Equinix,,2015-03-23
CSGP,CoStar Group,2019-12-23,2020-07-20
CSGP,CoStar Group,2022-12-19,
CA,CA Inc.,,2018-11-05
BATRA,Atlanta Braves Holdings Inc Series A,2016-04-18,2016-06-20
FOX,Fox Corporation Class B,2019-03-19,2021-12-20
GOOGL,Alphabet Inc Class A,,
ASML,ASML Holding,2017-12-18,
XRAY,Dentsply Sirona,2016-06-20,2018-11-19
SHPG,Shire PLC,2016-10-19,2018-12-24
LIFE,Life Technologies,,2013-08-22
DTV,DirecTV,,2015-07-24
WBA,Walgreens Boots Alliance,2015-03-23,2024-07-22
VMED,Virgin Media,,2013-06-05
SMCI,Supermicro,2024-07-22,2024-12-23
CCEP,Coca-Cola Europacific Partners,2023-12-18,
CTAS,Cintas,2016-12-19,
ADP,Automatic Data Processing,,
SPLS,Staples,,2015-12-21
AAPL,Apple Inc.,,
ARM,Arm Holdings,2024-06-24,
FANG,Diamondback Energy,2022-12-19,
GOOG,Alphabet Inc Class C,2014-04-03,
DASH,DoorDash,2023-12-18,
AAL,American Airlines Group,2014-12-22,2020-04-20
NVDA,Nvidia,,
CDW,CDW,2019-12-23,2021-12-20
CDW,CDW,2023-12-18,
KHC,Kraft Heinz,2015-07-02,
WDC,Western Digital,,2020-10-19
ZS,Zscaler,2021-12-20,
PAYX,Paychex,,
DLTR,Dollar Tree,,2024-11-18
LMCA,Liberty Media,2013-06-05,2016-06-20
VOD,Vodafone,,2018-12-24
ROST,Ross Stores,,
CHKP,Check Point,,2021-12-20
NLOK,NortonLifeLock,,2019-12-23
SHLD,Sears Holdings,,2013-12-23
WBD,Warner Bros. Discovery,2022-12-19,
SRCL,Stericycle,,2016-12-19
PCAR,Paccar,,
LBTYK,Liberty Global PLC Class C,2014-12-22,2020-12-21
BATRK,Atlanta Braves Holdings Inc Series C,2016-04-18,2016-06-20
MAR,Marriott International,2013-11-18,
TRIP,TripAdvisor,2013-12-23,2017-04-24
TTWO,Take-Two Interactive,2017-12-18,2020-12-21
TTWO,Take-Two Interactive,2023-12-14,
NXPI,NXP Semiconductors,2013-12-23,2017-02-07
NXPI,NXP Semiconductors,2018-11-05,
ADI,Analog Devices,,
MAT,Mattel,,2017-10-23
AXON,Axon Enterprise,2024-12-23,
ENPH,Enphase Energy,2022-11-21,2023-12-18
WDAY,Workday,2017-12-18,
CPRT,Copart,2019-12-23,
WFM,Whole Foods Market,,2016-12-19
BIIB,Biogen,,
NCLH,Norwegian Cruise Line Holdings,2015-12-21,2017-12-18
FOXA,Fox Corporation Class A,2019-03-19,2021-12-20
PEP,PepsiCo,2018-07-23,
VRSK,Verisk Analytics,,
GFS,GlobalFoundries,2022-12-19,
ISRG,Intuitive Surgical,,
VRTX,Vertex Pharmaceuticals,,
NFLX,Netflix,2013-06-06,
CDNS,Cadence Design Systems,2017-12-18,
MRVL,Marvell Technology,2020-12-21,
NTES,NetEase,2016-03-16,2022-12-19
SGEN,Seagen Inc.,2019-12-23,2023-12-14
FAST,Fastenal,,
CTXS,Citrix Systems,,2020-12-21
MTCH,Match Group,2020-12-21,2022-12-19
LILAK,Liberty Latin America Class C,2015-07-02,2015-12-21
EXPE,Expedia Group,2015-12-21,2020-12-21
TMUS,T-Mobile US,2015-12-21,
INTC,Intel,,
CHTR,Charter Communications,2013-07-25,
APP,AppLovin,2024-11-18,
LLTC,Linear Technology,,2016-10-19
TCFCA,21st Century Fox Class A,,2019-03-19
JD,JD.com,2015-07-29,2023-12-18
LMCK,Liberty Media Series C,,2016-06-20
MSTR,MicroStrategy,2024-12-23,
ENDP,Endo International,2015-12-21,2016-07-18
BMC,BMC Software,,2013-07-25
MSFT,Microsoft,,
ESRX,Express Scripts,,2018-12-24
AVGO,Broadcom,2016-02-01,
REGN,Regeneron Pharmaceuticals,,
WTW,Willis Towers Watson,2018-12-24,2020-04-30
ALGN,Align Technology,2017-10-23,2023-12-18
CHRW,C. H. Robinson Worldwide,,2015-12-21
MELI,MercadoLibre,2017-06-19,
QRTEA,Qurate Retail,,2018-12-24
XEL,Xcel Energy,2018-11-19,
WYNN,Wynn Resorts,2017-04-24,2019-12-23
MYL,Mylan,,2019-12-23
PLTR,Palantir Technologies,2024-12-23,
CTRX,Catamaran Corporation,,2015-07-24
AKAM,Akamai Technologies,,2017-12-18
KRFT,Kraft Foods,2013-03-18,2015-07-02
CMCSA,Comcast,,
ORLY,O'Reilly Automotive,,
DDOG,Datadog,2021-12-20,
XLNX,Xilinx,,2022-02-22
CTSH,Cognizant,,
MU,Micron Technology,,
MXIM,Maxim Integrated Products,2015-12-21,2021-08-26
CELG,Celgene,,2019-11-21
SHOP,Shopify,2025-05-19,
SBUX,Starbucks,,
DOCU,DocuSign,2020-06-22,2022-12-19
DISCK,Discovery Communications Series C,,2017-12-18
FFIV,F5 Networks,,2014-12-22
