ISIN,Name,Currency,StartDate,EndDate
DK0010287234,H. LUNDBECK,DKK,2020-09-30,2020-12-31
GB00BKDM7X41,Signature Aviation,GBP,2020-09-30,2020-12-31
FR0000125346,INGENICO,EUR,2020-09-30,2020-12-31
GB00B1H0DZ51,TP ICAP,GBP,2020-09-30,2020-12-31
PLLPP0000011,LPP,PLN,2020-09-30,2020-12-31
CH0267291224,SUNRISE,CHF,2020-09-30,2020-12-31
FR0000038259,EUROFINS SCIENTIFIC,EUR,2020-09-30,2020-12-31
ES0184696104,MASMOVIL IBERCOM,EUR,2020-09-30,2020-12-31
GB00BH3VJ782,NETWORK INTERNATIONAL HOLDINGS,GBP,2020-09-30,2020-12-31
NL0000388619,UNILEVER NV,EUR,2020-09-30,2020-12-31
JE00B5TT1872,CENTAMIN,GBP,2020-09-30,2020-12-31
GB00B1ZBKY84,MONEYSUPERMARKET COM GP.,GBP,2020-09-30,2020-12-31
DE0005419105,CANCOM,EUR,2020-09-30,2020-12-31
SE0000489098,SWECO 'B',SEK,2020-09-30,2020-12-31
NL0010877643,FIAT CHRYSLER AUTOMOBILES,EUR,2020-09-30,2021-03-31
FR0000121501,PEUGEOT,EUR,2020-09-30,2021-03-31
DK0060477503,TOPDANMARK,DKK,2020-09-30,2021-03-31
LU1250154413,ADLER GROUP,EUR,2020-09-30,2021-03-31
GB0002318888,CRANSWICK,GBP,2020-09-30,2021-03-31
SE0000112385,SAAB B,SEK,2020-09-30,2021-03-31
DE000A0TGJ55,VARTA AG,EUR,2020-09-30,2021-03-31
DE000A1J5RX9,TELEFONICA DEUTSCHLAND,EUR,2020-09-30,2021-03-31
FR0000035081,ICADE,EUR,2020-09-30,2021-03-31
SE0006993770,AXFOOD,SEK,2020-09-30,2021-03-31
DE000WAF3001,SILTRONIC,EUR,2020-12-31,2021-03-31
GB00B2QPKJ12,FRESNILLO,GBP,2020-09-30,2021-03-31
GB0008847096,TESCO,GBP,2020-09-30,2021-03-31
NL0011333752,ALTICE EUROPE NV A,EUR,2020-09-30,2021-03-31
GB00B0HZPV38,KAZ MINERALS PLC,GBP,2021-03-31,2021-06-30
SE0000310336,SWEDISH MATCH,SEK,2020-09-30,2021-06-30
CH0531751755,BANQUE CANTONALE VAUDOISE,CHF,2020-09-30,2021-06-30
GB0007739609,TRAVIS PERKINS,GBP,2020-09-30,2021-06-30
SE0011166933,EPIROC A,SEK,2020-09-30,2021-06-30
SE0006370730,LIFCO B,SEK,2020-09-30,2021-06-30
GB00B01FLG62,GRP 4 SECURICOR,GBP,2020-09-30,2021-06-30
GB00BKDTK925,TRAINLINE PLC,GBP,2020-09-30,2021-06-30
SE0007439112,SINCH,SEK,2020-09-30,2021-06-30
DK0010268606,VESTAS WIND SYSTEMS,DKK,2020-09-30,2021-06-30
FR0000120222,CNP ASSURANCES,EUR,2020-09-30,2021-06-30
FR0004035913,ILIAD,EUR,2020-09-30,2021-06-30
SE0012455673,BOLIDEN,SEK,2020-09-30,2021-06-30
SE0008321293,NIBE INDUSTRIER B,SEK,2020-09-30,2021-06-30
GB00B04V1276,GRAINGER,GBP,2020-09-30,2021-06-30
ES0184262212,VISCOFAN,EUR,2020-09-30,2021-06-30
SE0011116508,BEIJER REF AB,SEK,2020-09-30,2021-06-30
GB0031698896,WILLIAM HILL,GBP,2020-12-31,2021-06-30
GB00BKKMKR23,RSA INSURANCE GRP,GBP,2020-09-30,2021-06-30
GB00BKDM7X41,Signature Aviation,GBP,2021-03-31,2021-06-30
NL0000360618,SBM OFFSHORE,EUR,2020-09-30,2021-06-30
